benchmark,algorithm,trace,t_total,t_exec,t_checkpoint,t_recharge,t_rest
activity_recognition,rockclimb,6,9.27729737,0.03357758,0.12713280000000002,9.11759941,-0.0010124200000009853
activity_recognition,rockclimb,7,10.00797798,0.03357758,0.12713280000000002,9.8483109,-0.0010432999999998305
activity_recognition,rockclimb,8,14.62442591,0.03357758,0.12713280000000002,14.464725640000001,-0.0010101100000017016
activity_recognition,rockclimb,9,13.38724621,0.03357758,0.12713280000000002,13.227593859999999,-0.001058029999998239
activity_recognition,rockclimb,10,11.86193257,0.03357758,0.12713280000000002,11.7023107,-0.0010885099999995151
activity_recognition,schematic,1,2.65437786,0.03357758,0.07564777,2.54598445,-0.0008319400000003224
activity_recognition,schematic,2,2.0880890500000002,0.03357758,0.07564777,1.9796749299999998,-0.0008112299999996214
activity_recognition,schematic,3,1.27659337,0.03357758,0.07564777,1.16813447,-0.000766449999999988
activity_recognition,schematic,4,13.90007694,0.03357758,0.07564777,13.79164669,-0.0007951000000003955
activity_recognition,schematic,5,11.13870902,0.03357758,0.07564777,11.03028735,-0.0008036799999997651
activity_recognition,schematic,6,3.7797490099999997,0.03357758,0.07564777,3.67133402,-0.0008103600000004679
activity_recognition,schematic,7,8.98387181,0.03357758,0.07564777,8.87546693,-0.0008204699999998649
activity_recognition,schematic,8,10.120970400000001,0.03357758,0.07564777,10.01253439,-0.0007893399999998746
activity_recognition,schematic,9,10.880080130000001,0.03357758,0.07564777,10.77167383,-0.0008190499999978368
activity_recognition,schematic,10,8.02634963,0.03357758,0.07564777,7.917956650000001,-0.0008323700000003736
activity_recognition,schematicO3,1,0.18076926000000001,0.03357758,0.006421009999999991,0.14147839,-0.0007077199999999881
activity_recognition,schematicO3,2,0.6450110600000001,0.03357758,0.006421009999999991,0.60571518,-0.0007027099999999328
activity_recognition,schematicO3,3,0.25858499,0.03357758,0.006421009999999991,0.21928103,-0.0006946299999999669
activity_recognition,schematicO3,4,3.4490939700000003,0.03357758,0.006421009999999991,3.40979694,-0.0007015599999998165
activity_recognition,schematicO3,5,3.12933638,0.03357758,0.006421009999999991,3.0900362,-0.0006984100000003088
activity_recognition,schematicO3,6,1.0959981,0.03357758,0.006421009999999991,1.0566993500000001,-0.0006998400000000557
activity_recognition,schematicO3,7,3.03811382,0.03357758,0.006421009999999991,2.99881584,-0.0007006099999998169
activity_recognition,schematicO3,8,2.3387864300000003,0.03357758,0.006421009999999991,2.29948127,-0.0006934299999994883
activity_recognition,schematicO3,9,3.35860796,0.03357758,0.006421009999999991,3.31930929,-0.0006999200000000136
activity_recognition,schematicO3,10,0.16982847,0.03357758,0.006421009999999991,0.13053804,-0.0007081599999999785
bitcount,milp,1,0.10538678,0.02794858,0.0016854399999999999,0.07576493,-1.2169999999995379e-05
